p-2k-101,2k,金庫示範券,2000,2k-1.jpg,虛構商品，僅供課程示範
p-2k-102,2k,紅包示範券,2000,2k-2.jpg,虛構商品，僅供課程示範
p-1k-103,1k,行運示範券,1000,1k-1.jpg,虛構商品，僅供課程示範
p-1k-104,1k,吉利示範券,1000,1k-2.jpg,虛構商品，僅供課程示範
p-5-105,1k,年終示範券,1000,1k-3.jpg,虛構商品，僅供課程示範
p-5-106,500,玉門示範券,500,5-1.jpg,虛構商品，僅供課程示範
p-5-107,500,五福示範券,500,5-2.jpg,虛構商品，僅供課程示範
p-5-108,500,發袋示範券,500,5-3.jpg,虛構商品，僅供課程示範
p-5-109,500,金線示範券,500,5-4.jpg,虛構商品，僅供課程示範
p-5-110,500,財路示範券,500,5-5.jpg,虛構商品，僅供課程示範
p-2-111,200,起手示範券,200,2-1.jpg,虛構商品，僅供課程示範
p-2-112,200,三星示範券,200,2-2.jpg,虛構商品，僅供課程示範
p-2-113,200,新歲示範券,200,2-3.jpg,虛構商品，僅供課程示範
p-2-114,200,滿屋示範券,200,2-4.jpg,虛構商品，僅供課程示範
p-2-115,200,連線示範券,200,2-5.jpg,虛構商品，僅供課程示範
p-2-116,200,方城示範券,200,2-6.jpg,虛構商品，僅供課程示範
p-2-117,200,連發示範券,200,2-7.jpg,虛構商品，僅供課程示範
p-1-118,100,聚寶示範券,100,1-1.jpg,虛構商品，僅供課程示範
p-1-119,100,旺來示範券,100,1-2.jpg,虛構商品，僅供課程示範
p-1-120,100,新春示範券,100,1-3.jpg,虛構商品，僅供課程示範
p-1-121,100,金鼓示範券,100,1-4.jpg,虛構商品，僅供課程示範
p-1-122,100,來訪示範券,100,1-5.jpg,虛構商品，僅供課程示範
p-1-123,100,小兔示範券,100,1-6.jpg,虛構商品，僅供課程示範
